# Driving Time (ms), PL (counts)
4.999999999999999774e-07,6.000000000000000000e+00
5.199999999999999976e-07,4.000000000000000000e+00
5.400000000000000179e-07,7.000000000000000000e+00
5.600000000000000382e-07,3.000000000000000000e+00
5.800000000000000585e-07,6.000000000000000000e+00
6.000000000000000787e-07,8.000000000000000000e+00
6.200000000000000990e-07,9.000000000000000000e+00
6.400000000000001193e-07,8.000000000000000000e+00
6.600000000000001395e-07,6.000000000000000000e+00
6.800000000000001598e-07,5.000000000000000000e+00
7.000000000000001801e-07,4.000000000000000000e+00
7.200000000000002004e-07,3.000000000000000000e+00
7.400000000000002206e-07,4.000000000000000000e+00
7.600000000000002409e-07,5.000000000000000000e+00
7.800000000000002612e-07,8.000000000000000000e+00
8.000000000000002814e-07,4.000000000000000000e+00
8.200000000000003017e-07,5.000000000000000000e+00
8.400000000000003220e-07,5.000000000000000000e+00
8.600000000000003422e-07,3.000000000000000000e+00
8.800000000000003625e-07,7.000000000000000000e+00
9.000000000000003828e-07,5.000000000000000000e+00
9.200000000000004031e-07,7.000000000000000000e+00
9.400000000000004233e-07,4.000000000000000000e+00
9.600000000000005495e-07,4.000000000000000000e+00
9.800000000000003580e-07,7.000000000000000000e+00
1.000000000000000590e-06,9.000000000000000000e+00
1.020000000000000399e-06,4.000000000000000000e+00
1.040000000000000631e-06,4.000000000000000000e+00
1.060000000000000439e-06,1.000000000000000000e+00
1.080000000000000671e-06,7.000000000000000000e+00
1.100000000000000480e-06,1.100000000000000000e+01
1.120000000000000712e-06,5.000000000000000000e+00
1.140000000000000520e-06,4.000000000000000000e+00
1.160000000000000752e-06,2.000000000000000000e+00
1.180000000000000561e-06,5.000000000000000000e+00
1.200000000000000793e-06,6.000000000000000000e+00
1.220000000000000601e-06,3.000000000000000000e+00
1.240000000000000833e-06,2.000000000000000000e+00
1.260000000000000642e-06,6.000000000000000000e+00
1.280000000000000874e-06,7.000000000000000000e+00
1.300000000000000682e-06,8.000000000000000000e+00
1.320000000000000914e-06,6.000000000000000000e+00
1.340000000000000723e-06,7.000000000000000000e+00
1.360000000000000955e-06,1.100000000000000000e+01
1.380000000000000763e-06,7.000000000000000000e+00
1.400000000000000995e-06,7.000000000000000000e+00
1.420000000000000804e-06,7.000000000000000000e+00
1.440000000000001036e-06,4.000000000000000000e+00
1.460000000000000844e-06,1.600000000000000000e+01
1.480000000000001077e-06,7.000000000000000000e+00
1.500000000000000885e-06,8.000000000000000000e+00
1.520000000000001117e-06,4.000000000000000000e+00
1.540000000000000926e-06,7.000000000000000000e+00
1.560000000000001158e-06,6.000000000000000000e+00
1.580000000000000966e-06,1.000000000000000000e+01
1.600000000000001198e-06,9.000000000000000000e+00
1.620000000000001007e-06,6.000000000000000000e+00
1.640000000000001239e-06,3.000000000000000000e+00
1.660000000000001047e-06,6.000000000000000000e+00
1.680000000000001279e-06,6.000000000000000000e+00
1.700000000000001088e-06,6.000000000000000000e+00
1.720000000000001320e-06,5.000000000000000000e+00
1.740000000000001128e-06,5.000000000000000000e+00
1.760000000000001360e-06,1.000000000000000000e+01
1.780000000000001169e-06,5.000000000000000000e+00
